n,threads,scan_type,mode,sequential_ms,parallel_ms,speedup,efficiency,status,repeats,timing_method,median_sequential_ms,median_parallel_ms,average_sequential_ms,average_parallel_ms
10000,1,exclusive,direct,0.004071,0.045203,0.090060,0.090060,OK,9,median,0.004071,0.045203,0.003966,0.045228
10000,2,exclusive,direct,0.004107,0.046586,0.088160,0.044080,OK,9,median,0.004107,0.046586,0.004101,0.046525
10000,4,exclusive,direct,0.003844,0.036609,0.105002,0.026250,OK,9,median,0.003844,0.036609,0.003862,0.036636
10000,8,exclusive,direct,0.006055,1.181565,0.005125,0.000641,OK,9,median,0.006055,1.181565,0.006046,1.368757
100000,1,exclusive,direct,0.084152,0.428273,0.196491,0.196491,OK,9,median,0.084152,0.428273,0.089251,0.661622
100000,2,exclusive,direct,0.044694,0.232265,0.192427,0.096213,OK,9,median,0.044694,0.232265,0.045867,0.238053
100000,4,exclusive,direct,0.125708,0.167400,0.750944,0.187736,OK,9,median,0.125708,0.167400,0.116917,0.179570
100000,8,exclusive,direct,0.046268,1.682319,0.027503,0.003438,OK,9,median,0.046268,1.682319,0.048202,1.933076
1000000,1,exclusive,direct,0.817632,8.397885,0.097362,0.097362,OK,9,median,0.817632,8.397885,1.217989,8.449660
1000000,2,exclusive,direct,0.922199,4.868225,0.189432,0.094716,OK,9,median,0.922199,4.868225,0.917704,5.396466
1000000,4,exclusive,direct,0.713007,3.980154,0.179141,0.044785,OK,9,median,0.713007,3.980154,0.746187,4.757505
1000000,8,exclusive,direct,0.806562,9.825788,0.082086,0.010261,OK,9,median,0.806562,9.825788,0.815019,9.882822
10000000,1,exclusive,direct,10.606361,92.839874,0.114244,0.114244,OK,9,median,10.606361,92.839874,9.882963,97.386920
10000000,2,exclusive,direct,6.458485,77.105841,0.083761,0.041881,OK,9,median,6.458485,77.105841,6.525427,77.594861
10000000,4,exclusive,direct,6.508729,129.165703,0.050391,0.012598,OK,9,median,6.508729,129.165703,6.533794,129.692182
10000000,8,exclusive,direct,7.071250,92.858649,0.076151,0.009519,OK,9,median,7.071250,92.858649,7.195191,93.774043
10000,1,exclusive,chunked,0.004935,0.007396,0.667253,0.667253,OK,9,median,0.004935,0.007396,0.004825,0.007347
10000,2,exclusive,chunked,0.004607,0.005564,0.828001,0.414001,OK,9,median,0.004607,0.005564,0.004481,0.005478
10000,4,exclusive,chunked,0.004762,0.005719,0.832663,0.208166,OK,9,median,0.004762,0.005719,0.004538,0.005768
10000,8,exclusive,chunked,0.003999,0.058010,0.068936,0.008617,OK,9,median,0.003999,0.058010,0.004052,0.061013
100000,1,exclusive,chunked,0.043914,0.047590,0.922757,0.922757,OK,9,median,0.043914,0.047590,0.043878,0.047596
100000,2,exclusive,chunked,0.045030,0.028192,1.597262,0.798631,OK,9,median,0.045030,0.028192,0.046000,0.028149
100000,4,exclusive,chunked,0.042295,0.029286,1.444205,0.361051,OK,9,median,0.042295,0.029286,0.044078,0.029052
100000,8,exclusive,chunked,0.045980,0.089005,0.516600,0.064575,OK,9,median,0.045980,0.089005,0.046669,0.092573
1000000,1,exclusive,chunked,0.613578,0.618036,0.992787,0.992787,OK,9,median,0.613578,0.618036,0.617671,0.621214
1000000,2,exclusive,chunked,0.638093,0.515317,1.238253,0.619127,OK,9,median,0.638093,0.515317,0.645130,0.542914
1000000,4,exclusive,chunked,0.605496,0.522283,1.159325,0.289831,OK,9,median,0.605496,0.522283,0.606915,0.769429
1000000,8,exclusive,chunked,0.608249,0.647120,0.939932,0.117492,OK,9,median,0.608249,0.647120,0.606872,0.649247
10000000,1,exclusive,chunked,6.443597,7.732997,0.833260,0.833260,OK,9,median,6.443597,7.732997,6.445204,8.331489
10000000,2,exclusive,chunked,7.731938,8.472772,0.912563,0.456281,OK,9,median,7.731938,8.472772,7.751426,8.447652
10000000,4,exclusive,chunked,7.718640,7.985545,0.966576,0.241644,OK,9,median,7.718640,7.985545,7.850053,8.718741
10000000,8,exclusive,chunked,6.494187,8.122982,0.799483,0.099935,OK,9,median,6.494187,8.122982,6.558870,8.179242
10000,1,inclusive,direct,0.004251,0.047116,0.090224,0.090224,OK,9,median,0.004251,0.047116,0.006530,0.047138
10000,2,inclusive,direct,0.004043,0.037457,0.107937,0.053969,OK,9,median,0.004043,0.037457,0.004550,0.037484
10000,4,inclusive,direct,0.004068,0.038308,0.106192,0.026548,OK,9,median,0.004068,0.038308,0.004034,0.038340
10000,8,inclusive,direct,0.003897,0.687923,0.005665,0.000708,OK,9,median,0.003897,0.687923,0.006285,0.719121
100000,1,inclusive,direct,0.038954,0.313251,0.124354,0.124354,OK,9,median,0.038954,0.313251,0.040757,0.319269
100000,2,inclusive,direct,0.041868,0.172654,0.242497,0.121248,OK,9,median,0.041868,0.172654,0.041449,0.175634
100000,4,inclusive,direct,0.041279,0.168836,0.244492,0.061123,OK,9,median,0.041279,0.168836,0.040644,0.169565
100000,8,inclusive,direct,0.038884,0.927849,0.041908,0.005238,OK,9,median,0.038884,0.927849,0.039439,0.824609
1000000,1,inclusive,direct,0.559029,4.546142,0.122968,0.122968,OK,9,median,0.559029,4.546142,0.558739,4.607934
1000000,2,inclusive,direct,0.559058,3.791040,0.147468,0.073734,OK,9,median,0.559058,3.791040,0.559789,3.894499
1000000,4,inclusive,direct,0.582296,3.896723,0.149432,0.037358,OK,9,median,0.582296,3.896723,0.581464,4.278646
1000000,8,inclusive,direct,0.562658,4.332728,0.129862,0.016233,OK,9,median,0.562658,4.332728,0.558018,4.621400
10000000,1,inclusive,direct,5.951580,99.347963,0.059906,0.059906,OK,9,median,5.951580,99.347963,5.951341,98.902975
10000000,2,inclusive,direct,6.328040,101.888395,0.062108,0.031054,OK,9,median,6.328040,101.888395,6.447781,104.578552
10000000,4,inclusive,direct,23.051630,107.099570,0.215236,0.053809,OK,9,median,23.051630,107.099570,20.307965,118.074056
10000000,8,inclusive,direct,6.175290,88.006811,0.070168,0.008771,OK,9,median,6.175290,88.006811,6.166099,87.698811
10000,1,inclusive,chunked,0.004851,0.008838,0.548880,0.548880,OK,9,median,0.004851,0.008838,0.004826,0.008690
10000,2,inclusive,chunked,0.004365,0.006460,0.675697,0.337848,OK,9,median,0.004365,0.006460,0.004447,0.006384
